ENCFF180SGO	GM12878|BCLAF1|None
ENCFF267WQW	HEK293|eGFP-ZBTB21|None
ENCFF893SZU	GM12892|TAF1|None
ENCFF678AUZ	HeLa-S3|UBTF|None
ENCFF936EFC	A549|TCF12|ethanol
ENCFF916WZZ	HepG2|CREM|None
ENCFF161BNR	K562|UBTF|None
ENCFF036PCO	K562|eGFP-ILK|None
ENCFF794VNW	HEK293|eGFP-ZNF302|None
ENCFF238MIV	HepG2|MAX|None
ENCFF901LLL	A549|EHMT2|None
ENCFF558FCT	MCF-7|DDX20|None
ENCFF761ITN	K562|U2AF1|None
ENCFF355IGX	K562|SMARCE1|None
ENCFF554VSA	MCF-7|ELF1|None
ENCFF704DME	HepG2|FOXA2|None
ENCFF527MOR	HepG2|HDAC1|None
ENCFF477IDC	K562|NR2C1|None
ENCFF805OCR	K562|FOXM1|None
ENCFF531XEK	HEK293|eGFP-SP7|None
ENCFF131JIX	GM12878|MEF2A|None
ENCFF170JJV	K562|RCOR1|None
ENCFF939GJQ	HEK293|eGFP-ZNF521|None
ENCFF834PRZ	K562|RBFOX2|None
ENCFF490VGQ	H1-hESC|CHD1|None
ENCFF030DAG	SK-N-SH|MXI1|None
ENCFF910WWV	K562|E2F7|None
ENCFF066UQP	K562|eGFP-ELF1|None
ENCFF605TNJ	K562|eGFP-ATF3|None
ENCFF662LUJ	HEK293|eGFP-PRDM10|None
ENCFF927SOS	K562|AGO1|None
ENCFF738GMP	HEK293|eGFP-ZNF274|None
ENCFF389KBV	K562|DEAF1|None
ENCFF002VCK	MCF-7|MBD2|None
ENCFF904KHM	K562|U2AF2|None
ENCFF019YHK	HEK293|eGFP-ZNF707|None
ENCFF554UPA	K562|GABPA|None
ENCFF818GAP	RWPE1|CTCF|None
ENCFF856RYW	IMR-90|RCOR1|None
ENCFF497RWM	A549|SMC3|None
ENCFF795JAX	Ishikawa|ESR1|dimethyl-sulfoxide
ENCFF377FEJ	HepG2|GTF2F1|None
ENCFF898YBS	OCI-LY1|CTCF|None
ENCFF532AWE	MCF-7|HDGF|None
ENCFF327NWI	HEK293|eGFP-ZSCAN18|None
ENCFF097XOQ	Ishikawa|NR3C1|ethanol
ENCFF795HVQ	HCT116|ZBTB33|None
ENCFF211IIT	HEK293|eGFP-ZNF211|None
ENCFF883VXZ	H1-hESC|USF2|None
ENCFF183HLJ	H1-hESC|YY1|None
ENCFF810XKE	HEK293T|BHLHE40|None
ENCFF909LIE	MCF-7|GATA3|None
ENCFF286EMA	HepG2|CTCF|None
ENCFF642DTY	IMR-90|RAD21|None
ENCFF809EGU	HEK293|eGFP-ZNF792|None
ENCFF874AEL	HEK293|eGFP-FEZF1|None
ENCFF552LKV	K562|eGFP-PYGO2|None
ENCFF446YER	K562|ARNT|None
ENCFF819MHF	K562|BHLHE40|None
ENCFF782DOI	HEK293|eGFP-ZNF776|None
ENCFF575VHZ	K562|CDC5L|None
ENCFF326GOB	MCF-7|eGFP-E2F4|None
ENCFF590DDW	H1-hESC|WDR5|None
ENCFF314BZO	HEK293|eGFP-ZNF610|None
ENCFF741PQE	liver|FOXA1|None
ENCFF746RQR	GM12878|NFYB|None
ENCFF381CDR	HEK293|eGFP-ZNF416|None
ENCFF756UDU	endothelial-cell-of-umbilical-vein|GATA2|None
ENCFF350TKU	GM12878|ELK1|None
ENCFF946XDG	HepG2|FLAG-ATF4|None
ENCFF531LRF	MCF-7|ARID3A|None
ENCFF106YYN	HepG2|YBX1|None
ENCFF287QDZ	MCF-7|eGFP-KLF4|None
ENCFF382EZV	IMR-90|CHD1|None
ENCFF862MKQ	HepG2|FLAG-KAT8|None
ENCFF284LYU	K562|eGFP-NR2C2|None
ENCFF883YQO	A549|SREBF1|None
